event_rank_by_abs_train_ramp,event_index,event_timestamp,ramp_kw_per_10min,absolute_ramp_kw_per_10min,representation,alignment_mode,peak_timing_error_steps,local_correlation,reconstruction_rmse_kw,window_radius_steps,source_signal,fit_split
18,16966,2021-04-28 19:50:00,722.4419892723881,722.4419892723881,coaxial_ma36,coaxial,1,0.14576736370643192,411.90697827275227,36,Patv_clean_for_input,train
18,16966,2021-04-28 19:50:00,722.4419892723881,722.4419892723881,causal_downsample_upsample_ma36,causal_downsample_upsample,26,-0.23162631876490375,495.62107317179374,36,Patv_clean_for_input,train
19,27999,2021-07-14 10:40:00,714.8912809001866,714.8912809001866,coaxial_ma6,coaxial,4,0.8840288112333787,141.57186447495715,36,Patv_clean_for_input,train
19,27999,2021-07-14 10:40:00,714.8912809001866,714.8912809001866,coaxial_ma18,coaxial,4,0.49365307420282484,273.55661201077737,36,Patv_clean_for_input,train
19,27999,2021-07-14 10:40:00,714.8912809001866,714.8912809001866,coaxial_ma36,coaxial,4,0.22588862333635035,311.6940647637458,36,Patv_clean_for_input,train
19,27999,2021-07-14 10:40:00,714.8912809001866,714.8912809001866,causal_downsample_upsample_ma36,causal_downsample_upsample,9,0.09245636963457564,328.2751697649818,36,Patv_clean_for_input,train
20,31385,2021-08-06 23:00:00,691.0246035447761,691.0246035447761,coaxial_ma6,coaxial,1,0.8329664146206311,146.57681208707913,36,Patv_clean_for_input,train
20,31385,2021-08-06 23:00:00,691.0246035447761,691.0246035447761,coaxial_ma18,coaxial,0,0.47180396372872596,240.12126931099547,36,Patv_clean_for_input,train
20,31385,2021-08-06 23:00:00,691.0246035447761,691.0246035447761,coaxial_ma36,coaxial,1,0.28568149956789907,264.77527033846974,36,Patv_clean_for_input,train
20,31385,2021-08-06 23:00:00,691.0246035447761,691.0246035447761,causal_downsample_upsample_ma36,causal_downsample_upsample,7,-0.08515698448400966,305.4037375108303,36,Patv_clean_for_input,train
21,13309,2021-04-03 10:20:00,-686.8677705223881,686.8677705223881,coaxial_ma6,coaxial,26,0.7278153139629345,304.3892902339557,36,Patv_clean_for_input,train
21,13309,2021-04-03 10:20:00,-686.8677705223881,686.8677705223881,coaxial_ma18,coaxial,19,0.218570575939035,441.7163957159571,36,Patv_clean_for_input,train
21,13309,2021-04-03 10:20:00,-686.8677705223881,686.8677705223881,coaxial_ma36,coaxial,26,0.2192520124061162,437.4565596410643,36,Patv_clean_for_input,train
