split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,15,14,10,0.2501956683123736,248.19280741285584,349.8893519476702,10669,0.2501956683123736,28,0.2609385788627858,False,top_14_by_validation_H10_Score
val,16,15,3,0.23886369010037628,237.56810129381964,338.78742626104867,3445,0.2445783817218424,35,0.2609385788627858,False,top_14_by_validation_H10_Score
val,16,15,6,0.24160718798877262,239.44906606352794,341.86751089503224,6887,0.2445783817218424,35,0.2609385788627858,False,top_14_by_validation_H10_Score
val,16,15,10,0.2445783817218424,241.7514913364746,345.7628932497033,11471,0.2445783817218424,35,0.2609385788627858,False,top_14_by_validation_H10_Score
val,17,16,3,0.23517596259717355,233.84579911772357,328.27557178763584,3345,0.23991382892665933,43,0.2609385788627858,False,top_14_by_validation_H10_Score
val,17,16,6,0.23742587641166848,235.660440376378,331.1576114963265,6687,0.23991382892665933,43,0.2609385788627858,False,top_14_by_validation_H10_Score
val,17,16,10,0.23991382892665933,237.98836112214687,334.9182785136891,11136,0.23991382892665933,43,0.2609385788627858,False,top_14_by_validation_H10_Score
val,18,17,3,0.21796705477858755,216.58784474540286,310.7429897066427,3545,0.2228104469282048,76,0.2609385788627858,False,top_14_by_validation_H10_Score
val,18,17,6,0.2203815680544243,218.23031276850128,313.46253858601034,7090,0.2228104469282048,76,0.2609385788627858,False,top_14_by_validation_H10_Score
val,18,17,10,0.2228104469282048,220.2952810825254,317.0176811869491,11818,0.2228104469282048,76,0.2609385788627858,False,top_14_by_validation_H10_Score
val,19,18,3,0.21540991415744654,213.82339377633818,302.1781377485817,3291,0.22027544882445207,83,0.2609385788627858,False,top_14_by_validation_H10_Score
val,19,18,6,0.21798382548411885,215.5784256809204,304.874037777075,6579,0.22027544882445207,83,0.2609385788627858,False,top_14_by_validation_H10_Score
val,19,18,10,0.22027544882445207,217.89449752615448,308.5470150440705,10958,0.22027544882445207,83,0.2609385788627858,False,top_14_by_validation_H10_Score
val,20,19,3,0.2213365930248871,219.65334014776047,316.3365968340989,3161,0.22713292773195853,67,0.2609385788627858,False,top_14_by_validation_H10_Score
val,20,19,6,0.22394626421019964,221.46280899310455,319.1777177805211,6319,0.22713292773195853,67,0.2609385788627858,False,top_14_by_validation_H10_Score
val,20,19,10,0.22713292773195853,223.5573073400808,322.57604415325176,10523,0.22713292773195853,67,0.2609385788627858,False,top_14_by_validation_H10_Score
val,21,20,3,0.2096684533745384,207.89949480811728,299.56791504182456,3469,0.21465656669337005,97,0.2609385788627858,False,top_14_by_validation_H10_Score
val,21,20,6,0.21245263412142393,209.56404845987345,302.16305594307147,6935,0.21465656669337005,97,0.2609385788627858,False,top_14_by_validation_H10_Score
val,21,20,10,0.21465656669337005,211.73803349663015,305.61085871934245,11544,0.21465656669337005,97,0.2609385788627858,False,top_14_by_validation_H10_Score
val,22,21,3,0.25872980782183247,255.84149137620676,359.4533560804599,3329,0.2650189318887436,10,0.2609385788627858,True,top_14_by_validation_H10_Score
val,22,21,6,0.2624713366454518,258.1141757553515,362.68116738785864,6655,0.2650189318887436,10,0.2609385788627858,True,top_14_by_validation_H10_Score
