variant_id,horizon_i,horizon_j,distance
N3,4,9,0.0
N3,4,10,0.0
N3,5,1,0.0
N3,5,2,0.0
N3,5,3,0.0
N3,5,4,0.0
N3,5,5,0.0
N3,5,6,0.0
N3,5,7,0.0
N3,5,8,0.0
N3,5,9,0.0
N3,5,10,0.0
N3,6,1,0.0
N3,6,2,0.0
N3,6,3,0.0
N3,6,4,0.0
N3,6,5,0.0
N3,6,6,0.0
N3,6,7,0.0
N3,6,8,0.0
N3,6,9,0.0
N3,6,10,0.0
N3,7,1,0.0
N3,7,2,0.0
N3,7,3,0.0
N3,7,4,0.0
N3,7,5,0.0
N3,7,6,0.0
N3,7,7,0.0
N3,7,8,0.0
N3,7,9,0.0
N3,7,10,0.0
N3,8,1,0.0
N3,8,2,0.0
N3,8,3,0.0
N3,8,4,0.0
N3,8,5,0.0
N3,8,6,0.0
N3,8,7,0.0
N3,8,8,0.0
N3,8,9,0.0
N3,8,10,0.0
N3,9,1,0.0
N3,9,2,0.0
N3,9,3,0.0
N3,9,4,0.0
N3,9,5,0.0
N3,9,6,0.0
N3,9,7,0.0
N3,9,8,0.0
N3,9,9,0.0
N3,9,10,0.0
N3,10,1,0.0
N3,10,2,0.0
N3,10,3,0.0
N3,10,4,0.0
N3,10,5,0.0
N3,10,6,0.0
N3,10,7,0.0
N3,10,8,0.0
N3,10,9,0.0
N3,10,10,0.0
N4,NOT_APPLICABLE,NOT_APPLICABLE,
N5,1,1,0.0
N5,1,2,5.117722988128662
N5,1,3,5.251861095428467
N5,1,4,5.082777500152588
N5,1,5,5.310156345367432
N5,1,6,5.774882793426514
N5,1,7,5.4495439529418945
N5,1,8,5.355255126953125
N5,1,9,5.863144397735596
N5,1,10,5.847062587738037
N5,2,1,5.117722988128662
N5,2,2,0.0
N5,2,3,4.895342826843262
N5,2,4,5.429052352905273
N5,2,5,5.0485124588012695
N5,2,6,5.8787522315979
N5,2,7,5.040229320526123
N5,2,8,5.637294292449951
N5,2,9,5.865697860717773
N5,2,10,5.493518352508545
N5,3,1,5.251861095428467
N5,3,2,4.895342826843262
N5,3,3,0.0
N5,3,4,5.520183086395264
N5,3,5,5.5529046058654785
N5,3,6,6.1141157150268555
N5,3,7,4.8367791175842285
N5,3,8,5.547508239746094
N5,3,9,5.432750701904297
N5,3,10,5.180945873260498
N5,4,1,5.082777500152588
N5,4,2,5.429052352905273
N5,4,3,5.520183086395264
N5,4,4,0.0
N5,4,5,4.773876190185547
N5,4,6,4.4780378341674805
N5,4,7,5.5431647300720215
N5,4,8,4.722450256347656
N5,4,9,4.864839553833008
N5,4,10,5.246162414550781
N5,5,1,5.310156345367432
N5,5,2,5.0485124588012695
N5,5,3,5.5529046058654785
N5,5,4,4.773876190185547
N5,5,5,0.0
N5,5,6,4.4934492111206055
N5,5,7,4.895777702331543
N5,5,8,5.099592208862305
N5,5,9,4.948957443237305
N5,5,10,4.641480922698975
N5,6,1,5.774882793426514
N5,6,2,5.8787522315979
N5,6,3,6.1141157150268555
N5,6,4,4.4780378341674805
N5,6,5,4.4934492111206055
N5,6,6,0.0
N5,6,7,5.1580491065979
N5,6,8,5.437256813049316
N5,6,9,5.121528625488281
N5,6,10,5.327543258666992
N5,7,1,5.4495439529418945
N5,7,2,5.040229320526123
N5,7,3,4.8367791175842285
N5,7,4,5.5431647300720215
N5,7,5,4.895777702331543
N5,7,6,5.1580491065979
N5,7,7,0.0
N5,7,8,5.313592433929443
N5,7,9,5.691781044006348
N5,7,10,4.622945308685303
N5,8,1,5.355255126953125
N5,8,2,5.637294292449951
N5,8,3,5.547508239746094
N5,8,4,4.722450256347656
N5,8,5,5.099592208862305
N5,8,6,5.437256813049316
N5,8,7,5.313592433929443
N5,8,8,0.0
