a0_mae,a0_rmse,a0_score,a0_win_rate,a1_mae,a1_rmse,a1_score,coarse_gate_mean,decile,delta_direction,delta_mae_a1_minus_a0,delta_rmse_a1_minus_a0,delta_score_a1_minus_a0,fine_gate_mean,fine_gate_recent6_mean,fine_gate_std,horizon,num_valid_points,num_windows,score_lower_is_better,volatility_max,volatility_mean,volatility_min
90.77148831630126,140.44209843663862,10.106047451663393,0.49902152641878667,89.3796845126936,142.75000294428733,9.999693032711104,0.46588432788848877,D6,positive_means_A0_better,-1.391803803607658,2.307904507648715,-0.10635441895228936,0.5341156721115112,0.5374845266342163,0.003064073622226715,6,259284,511,True,-0.04186224192380905,-0.06677071212147546,-0.09397315979003906
103.46844703286855,156.3193581785621,11.793854859783284,0.47162426614481406,102.82087290857734,160.87634324926037,11.802008850202965,0.46588432788848877,D6,positive_means_A0_better,-0.6475741242912108,4.556985070698261,0.008153990419680568,0.5341156721115112,0.5374845266342163,0.003064073622226715,10,431431,511,True,-0.04186224192380905,-0.06677071212147546,-0.09397315979003906
78.67536037493323,115.54729071004616,8.502733941605438,0.5274509803921569,82.36723599502761,119.61244239496388,8.717642752465043,0.4568360149860382,D7,positive_means_A0_better,3.691875620094379,4.065151684917723,0.21490881085960467,0.5431639552116394,0.5384666323661804,0.003487746464088559,3,122505,510,True,0.01708442158997059,-0.01475103141100251,-0.041809290647506714
89.60256332542848,130.89580686764236,9.887975727470018,0.5333333333333333,91.54423724619822,131.66230128387974,10.002741281295426,0.4568360149860382,D7,positive_means_A0_better,1.9416739207697447,0.7664944162373786,0.11476555382540887,0.5431639552116394,0.5384666323661804,0.003487746464088559,6,242837,510,True,0.01708442158997059,-0.01475103141100251,-0.041809290647506714
101.74482184972491,146.22881219312893,11.38124919508545,0.5098039215686274,102.5172598290192,144.93992280992276,11.365424700107846,0.4568360149860382,D7,positive_means_A0_better,0.7724379792942813,-1.2888893832061683,-0.015824494977604076,0.5431639552116394,0.5384666323661804,0.003487746464088559,10,402577,510,True,0.01708442158997059,-0.01475103141100251,-0.041809290647506714
69.96506907368529,105.56779701182913,8.425371101897854,0.38943248532289626,66.20829433633386,102.99176620545464,7.965399626521455,0.4449453353881836,D8,positive_means_A0_better,-3.756774737351421,-2.57603080637449,-0.45997147537639904,0.5550546646118164,0.5487346053123474,0.004085395950824022,3,156536,511,True,0.09516672044992447,0.052598055295369164,0.01724904775619507
81.32109912899743,125.98300666184524,9.856352896738786,0.4344422700587084,78.37959501534448,125.02472684336901,9.586390081730865,0.4449453353881836,D8,positive_means_A0_better,-2.941504113652954,-0.9582798184762282,-0.2699628150079203,0.5550546646118164,0.5487346053123474,0.004085395950824022,6,308669,511,True,0.09516672044992447,0.052598055295369164,0.01724904775619507
93.99450858711909,144.89831801895903,11.408656925833919,0.4187866927592955,92.4501173551178,146.96655948310067,11.32868437239119,0.4449453353881836,D8,positive_means_A0_better,-1.5443912320012885,2.068241464141636,-0.0799725534427278,0.5550546646118164,0.5487346053123474,0.004085395950824022,10,503833,511,True,0.09516672044992447,0.052598055295369164,0.01724904775619507
105.71947102883524,157.79712709422304,13.029179729746907,0.4176470588235294,102.80560116873696,156.05534294468703,12.632795737345816,0.42831850051879883,D9,positive_means_A0_better,-2.9138698600982877,-1.7417841495360165,-0.39638399240109123,0.5716814994812012,0.5632975101470947,0.005951784085482359,3,162770,510,True,0.22194628417491913,0.15689019021742484,0.09527017176151276
124.60222301552483,186.64737328071698,15.548036515618213,0.40588235294117647,120.94652635497575,181.6092636367763,15.096505080581352,0.42831850051879883,D9,positive_means_A0_better,-3.655696660549083,-5.038109643940686,-0.4515314350368609,0.5716814994812012,0.5632975101470947,0.005951784085482359,6,325448,510,True,0.22194628417491913,0.15689019021742484,0.09527017176151276
145.18530013795004,215.67405755439538,18.14429163307429,0.3980392156862745,140.31795146207483,207.88350092864718,17.54749971751922,0.42831850051879883,D9,positive_means_A0_better,-4.867348675875206,-7.790556625748195,-0.5967919155550696,0.5716814994812012,0.5632975101470947,0.005951784085482359,10,541060,510,True,0.22194628417491913,0.15689019021742484,0.09527017176151276
106.19931287368807,149.51490488726122,13.40717227453678,0.3686274509803922,99.3934158315619,142.33727609610594,12.71376554105229,0.4078141152858734,D10,positive_means_A0_better,-6.805897042126176,-7.177628791155286,-0.6934067334844904,0.5921858549118042,0.5738496780395508,0.008746832609176636,3,167219,510,True,0.4177999794483185,0.2971940196027943,0.22195106744766235
126.47043933513558,175.36330643511224,16.28959621183824,0.37450980392156863,118.46776824485276,166.02780631304705,15.494760976114152,0.4078141152858734,D10,positive_means_A0_better,-8.002671090282817,-9.335500122065184,-0.7948352357240882,0.5921858549118042,0.5738496780395508,0.008746832609176636,6,332065,510,True,0.4177999794483185,0.2971940196027943,0.22195106744766235
143.2398431583855,194.18627526555144,18.652096589121317,0.3843137254901961,134.8987518381999,184.37478351350833,17.858494337325876,0.4078141152858734,D10,positive_means_A0_better,-8.341091320185598,-9.81149175204311,-0.7936022517954413,0.5921858549118042,0.5738496780395508,0.008746832609176636,10,549220,510,True,0.4177999794483185,0.2971940196027943,0.22195106744766235
